YEAR,DOY,HR,Bt,Bx,By,Bz,SWPD,SWPS,Fp,Kp
2016,1,0,15.0,4.9,-1.5,-14.1,2.0,463.,0.88,60
2016,1,1,14.6,5.7,-2.2,-13.2,0.8,451.,0.33,60
2016,1,2,13.9,4.5,-1.8,-13.0,1.1,450.,0.45,60
2016,1,3,13.5,2.9,0.7,-13.1,1.7,434.,0.64,53
2016,1,4,13.1,3.0,0.3,-12.7,0.9,430.,0.33,53
2016,1,5,12.0,3.3,-2.8,-11.0,1.7,436.,0.65,53
2016,1,6,10.1,3.6,-8.5,-3.4,2.6,444.,1.22,50
2016,1,7,10.9,3.2,-5.1,-8.9,1.4,436.,0.51,50
2016,1,8,10.1,4.0,-4.7,-7.9,1.8,430.,0.63,50
2016,1,9,10.0,6.1,-6.7,-3.2,1.0,452.,0.48,33
2016,1,10,10.2,6.2,-7.9,0.8,0.6,435.,0.34,33
2016,1,11,9.5,3.1,-7.0,4.7,0.9,426.,0.39,33
2016,1,12,9.2,1.3,-6.1,5.7,1.6,411.,0.56,17
2016,1,13,9.6,5.4,-7.3,-0.8,1.2,414.,0.42,17
2016,1,14,9.1,6.5,-6.1,-0.7,1.0,408.,0.34,17
2016,1,15,9.1,7.1,-5.5,-1.0,1.6,418.,0.52,10
2016,1,16,8.9,6.8,-5.6,1.0,1.8,422.,0.60,10
2016,1,17,8.2,5.2,-6.1,-0.4,1.8,414.,0.56,10
2016,1,18,8.0,5.7,-5.6,0.1,1.7,409.,0.52,20
2016,1,19,7.2,5.3,-4.7,-0.2,3.3,423.,1.10,20
2016,1,20,5.6,4.4,-2.9,-0.0,6.9,429.,2.38,20
2016,1,21,4.9,4.5,0.2,0.1,8.8,445.,3.21,17
2016,1,22,5.4,4.3,-2.9,1.6,6.9,435.,2.39,17
2016,1,23,7.8,3.1,-6.5,2.1,3.5,438.,1.23,17
2016,2,0,6.8,3.8,-5.3,2.0,5.9,435.,2.07,30
2016,2,1,4.3,1.8,-1.3,0.1,11.4,446.,4.26,30
2016,2,2,9.8,6.0,-7.6,-1.1,1.8,439.,0.68,30
