YEAR,DOY,HR,kP
2016,1,0,60
2016,1,1,60
2016,1,2,60
2016,1,3,53
2016,1,4,53
2016,1,5,53
2016,1,6,50
2016,1,7,50
2016,1,8,50
2016,1,9,33
2016,1,10,33
2016,1,11,33
2016,1,12,17
2016,1,13,17
2016,1,14,17
2016,1,15,10
2016,1,16,10
2016,1,17,10
2016,1,18,20
2016,1,19,20
2016,1,20,20
2016,1,21,17
2016,1,22,17
2016,1,23,17
2016,2,0,30
2016,2,1,30
2016,2,2,30
2016,2,3,23
2016,2,4,23
2016,2,5,23
2016,2,6,30
2016,2,7,30
2016,2,8,30
2016,2,9,23
2016,2,10,23
2016,2,11,23
2016,2,12,23
2016,2,13,23
2016,2,14,23
2016,2,15,17
2016,2,16,17
2016,2,17,17
2016,2,18,17
2016,2,19,17
2016,2,20,17
2016,2,21,13
2016,2,22,13
2016,2,23,13
2016,3,0,3
2016,3,1,3
2016,3,2,3
2016,3,3,17
2016,3,4,17
2016,3,5,17
2016,3,6,20
2016,3,7,20
2016,3,8,20
2016,3,9,7
2016,3,10,7
2016,3,11,7
2016,3,12,13
2016,3,13,13
2016,3,14,13
2016,3,15,23
2016,3,16,23
2016,3,17,23
2016,3,18,17
2016,3,19,17
2016,3,20,17
2016,3,21,27
2016,3,22,27
2016,3,23,27
2016,4,0,3
2016,4,1,3
2016,4,2,3
2016,4,3,17
2016,4,4,17
2016,4,5,17
2016,4,6,17
2016,4,7,17
2016,4,8,17
2016,4,9,7
2016,4,10,7
2016,4,11,7
2016,4,12,7
2016,4,13,7
2016,4,14,7
2016,4,15,20
2016,4,16,20
2016,4,17,20
2016,4,18,17
2016,4,19,17
2016,4,20,17
2016,4,21,7
2016,4,22,7
2016,4,23,7
2016,5,0,3
2016,5,1,3
2016,5,2,3
2016,5,3,10
2016,5,4,10
2016,5,5,10
2016,5,6,10
2016,5,7,10
2016,5,8,10
2016,5,9,17
2016,5,10,17
2016,5,11,17
2016,5,12,10
2016,5,13,10
2016,5,14,10
2016,5,15,20
2016,5,16,20
2016,5,17,20
2016,5,18,23
2016,5,19,23
2016,5,20,23
2016,5,21,20
2016,5,22,20
2016,5,23,20
2016,6,0,47
2016,6,1,47
2016,6,2,47
2016,6,3,27
2016,6,4,27
2016,6,5,27
2016,6,6,30
2016,6,7,30
2016,6,8,30
2016,6,9,33
2016,6,10,33
2016,6,11,33
2016,6,12,27
2016,6,13,27
2016,6,14,27
2016,6,15,23
2016,6,16,23
2016,6,17,23
2016,6,18,23
2016,6,19,23
2016,6,20,23
2016,6,21,33
2016,6,22,33
2016,6,23,33
2016,7,0,40
2016,7,1,40
2016,7,2,40
2016,7,3,27
2016,7,4,27
2016,7,5,27
2016,7,6,27
2016,7,7,27
2016,7,8,27
2016,7,9,33
2016,7,10,33
2016,7,11,33
2016,7,12,27
2016,7,13,27
2016,7,14,27
2016,7,15,27
2016,7,16,27
2016,7,17,27
2016,7,18,23
2016,7,19,23
2016,7,20,23
2016,7,21,13
2016,7,22,13
2016,7,23,13
2016,8,0,10
2016,8,1,10
2016,8,2,10
2016,8,3,23
2016,8,4,23
2016,8,5,23
2016,8,6,17
2016,8,7,17
2016,8,8,17
2016,8,9,23
2016,8,10,23
2016,8,11,23
2016,8,12,30
2016,8,13,30
2016,8,14,30
2016,8,15,13
2016,8,16,13
2016,8,17,13
2016,8,18,13
2016,8,19,13
2016,8,20,13
2016,8,21,13
2016,8,22,13
2016,8,23,13
2016,9,0,17
2016,9,1,17
2016,9,2,17
2016,9,3,10
2016,9,4,10
2016,9,5,10
2016,9,6,13
2016,9,7,13
2016,9,8,13
2016,9,9,10
2016,9,10,10
2016,9,11,10
2016,9,12,20
2016,9,13,20
2016,9,14,20
2016,9,15,17
2016,9,16,17
2016,9,17,17
2016,9,18,10
2016,9,19,10
2016,9,20,10
2016,9,21,13
2016,9,22,13
2016,9,23,13
2016,10,0,23
2016,10,1,23
2016,10,2,23
2016,10,3,17
2016,10,4,17
2016,10,5,17
2016,10,6,10
2016,10,7,10
2016,10,8,10
2016,10,9,20
2016,10,10,20
2016,10,11,20
2016,10,12,23
2016,10,13,23
2016,10,14,23
2016,10,15,13
2016,10,16,13
2016,10,17,13
2016,10,18,23
2016,10,19,23
2016,10,20,23
2016,10,21,27
2016,10,22,27
2016,10,23,27
2016,11,0,13
2016,11,1,13
2016,11,2,13
2016,11,3,27
2016,11,4,27
2016,11,5,27
2016,11,6,23
2016,11,7,23
2016,11,8,23
2016,11,9,17
2016,11,10,17
2016,11,11,17
2016,11,12,20
2016,11,13,20
2016,11,14,20
2016,11,15,30
2016,11,16,30
2016,11,17,30
2016,11,18,40
2016,11,19,40
2016,11,20,40
2016,11,21,37
2016,11,22,37
2016,11,23,37
2016,12,0,40
2016,12,1,40
2016,12,2,40
2016,12,3,20
2016,12,4,20
2016,12,5,20
2016,12,6,27
2016,12,7,27
2016,12,8,27
2016,12,9,23
2016,12,10,23
2016,12,11,23
2016,12,12,23
2016,12,13,23
2016,12,14,23
2016,12,15,20
2016,12,16,20
2016,12,17,20
2016,12,18,30
2016,12,19,30
2016,12,20,30
2016,12,21,30
2016,12,22,30
2016,12,23,30
2016,13,0,40
2016,13,1,40
2016,13,2,40
2016,13,3,40
2016,13,4,40
2016,13,5,40
2016,13,6,20
2016,13,7,20
2016,13,8,20
2016,13,9,17
2016,13,10,17
2016,13,11,17
2016,13,12,23
2016,13,13,23
2016,13,14,23
2016,13,15,23
2016,13,16,23
2016,13,17,23
2016,13,18,30
2016,13,19,30
2016,13,20,30
2016,13,21,10
2016,13,22,10
2016,13,23,10
2016,14,0,13
2016,14,1,13
2016,14,2,13
2016,14,3,20
2016,14,4,20
2016,14,5,20
2016,14,6,23
2016,14,7,23
2016,14,8,23
2016,14,9,20
2016,14,10,20
2016,14,11,20
2016,14,12,17
2016,14,13,17
2016,14,14,17
2016,14,15,17
2016,14,16,17
2016,14,17,17
2016,14,18,17
2016,14,19,17
2016,14,20,17
2016,14,21,27
2016,14,22,27
2016,14,23,27
2016,15,0,20
2016,15,1,20
2016,15,2,20
2016,15,3,20
2016,15,4,20
2016,15,5,20
2016,15,6,10
2016,15,7,10
2016,15,8,10
2016,15,9,7
2016,15,10,7
2016,15,11,7
2016,15,12,7
2016,15,13,7
2016,15,14,7
2016,15,15,10
2016,15,16,10
2016,15,17,10
2016,15,18,10
2016,15,19,10
2016,15,20,10
2016,15,21,10
2016,15,22,10
2016,15,23,10
2016,16,0,0
2016,16,1,0
2016,16,2,0
2016,16,3,10
2016,16,4,10
2016,16,5,10
2016,16,6,7
2016,16,7,7
2016,16,8,7
2016,16,9,13
2016,16,10,13
2016,16,11,13
2016,16,12,10
2016,16,13,10
2016,16,14,10
2016,16,15,3
2016,16,16,3
2016,16,17,3
2016,16,18,3
2016,16,19,3
2016,16,20,3
2016,16,21,3
2016,16,22,3
2016,16,23,3
2016,17,0,3
2016,17,1,3
2016,17,2,3
2016,17,3,0
2016,17,4,0
2016,17,5,0
2016,17,6,13
2016,17,7,13
2016,17,8,13
2016,17,9,7
2016,17,10,7
2016,17,11,7
2016,17,12,10
2016,17,13,10
2016,17,14,10
2016,17,15,10
2016,17,16,10
2016,17,17,10
2016,17,18,7
2016,17,19,7
2016,17,20,7
2016,17,21,3
2016,17,22,3
2016,17,23,3
2016,18,0,0
2016,18,1,0
2016,18,2,0
2016,18,3,0
2016,18,4,0
2016,18,5,0
2016,18,6,0
2016,18,7,0
2016,18,8,0
2016,18,9,3
2016,18,10,3
2016,18,11,3
2016,18,12,10
2016,18,13,10
2016,18,14,10
2016,18,15,17
2016,18,16,17
2016,18,17,17
2016,18,18,7
2016,18,19,7
2016,18,20,7
2016,18,21,30
2016,18,22,30
2016,18,23,30
2016,19,0,43
2016,19,1,43
2016,19,2,43
2016,19,3,27
2016,19,4,27
2016,19,5,27
2016,19,6,23
2016,19,7,23
2016,19,8,23
2016,19,9,27
2016,19,10,27
2016,19,11,27
2016,19,12,13
2016,19,13,13
2016,19,14,13
2016,19,15,13
2016,19,16,13
2016,19,17,13
2016,19,18,3
2016,19,19,3
2016,19,20,3
2016,19,21,10
2016,19,22,10
2016,19,23,10
2016,20,0,3
2016,20,1,3
2016,20,2,3
2016,20,3,20
2016,20,4,20
2016,20,5,20
2016,20,6,33
2016,20,7,33
2016,20,8,33
2016,20,9,43
2016,20,10,43
2016,20,11,43
2016,20,12,47
2016,20,13,47
2016,20,14,47
2016,20,15,47
2016,20,16,47
2016,20,17,47
2016,20,18,47
2016,20,19,47
2016,20,20,47
2016,20,21,43
2016,20,22,43
2016,20,23,43
2016,21,0,37
2016,21,1,37
2016,21,2,37
2016,21,3,57
2016,21,4,57
2016,21,5,57
2016,21,6,53
2016,21,7,53
2016,21,8,53
2016,21,9,33
2016,21,10,33
2016,21,11,33
2016,21,12,27
2016,21,13,27
2016,21,14,27
2016,21,15,37
2016,21,16,37
2016,21,17,37
